STRUCTURE	ENERGY
0	-40.25101876
1	-39.03728379
2	-37.77445698
3	-36.45701700
4	-35.07872228
5	-79.26789776
6	-78.00604144
7	-77.98567964
8	-76.69386532
9	-75.34726073
10	-76.78940490
11	-75.44942955
12	-78.03169391
13	-76.79162882
14	-76.74153333
15	-75.47461124
16	-75.39900554
17	-74.10055009
18	-75.50113575
19	-74.20871393
20	-75.44798452
21	-74.15549838
22	-72.83291349
23	-74.20544013
24	-72.80071082
25	-72.86032207
26	-71.50935037
27	-79.24284966
28	-77.95651807
29	-77.95752087
30	-76.64193705
31	-75.29273558
32	-76.76631326
33	-76.76548283
34	-75.42488386
35	-75.42390070
36	-75.29449389
37	-74.04947426
38	-74.18108847
39	-72.77713279
40	-74.18325714
41	-72.78079644
42	-71.48291507
43	-79.21498416
44	-77.90109903
45	-76.55653510
46	-75.17967472
47	-76.73827888
48	-75.36902258
49	-75.17985919
50	-73.96614674
51	-74.15546835
52	-72.72541136
53	-71.45652822
